Key,Value
youFeelSomewhatBad,你覺得有點不舒服。
avoidDeath,承蒙斯丹達爾慈悲，你從必死之境活了下來！
pronounHe,他
pronounShe,她
pronounHim,他
pronounHer,她
pronounHer2,她的
pronounHis,他的
pronounHis2,他的
pronounHers,她的
pronounHimself,他自己
pronounHerself,她自己
city,城市
village,村莊
hamlet,小村
farm,農場
shack,小屋
manor,莊園
community,聚落
shrine,神龕
King,國王
Queen,女王
Duke,公爵
Duchess,公爵夫人
Marquis,侯爵
Marquise,侯爵夫人
Count,伯爵
Countess,伯爵夫人
Baron,男爵
Baroness,男爵夫人
Lord,領主
Lady,夫人
revered,受崇敬的
esteemed,受敬重的
honored,受尊榮的
admired,受欽佩的
respected,受尊敬的
dependable,可靠的
aCommonCitizen,一介平民
hated,被憎恨的
pondScum,池塘汙泥
aVillain,一個惡棍
aCriminal,一個罪犯
aScoundrel,一個無賴
undependable,不可靠的
unknown,未知的
Broken,損壞
Useless,無用
Battered,破損
Worn,磨損
Used,用過
SlightlyUsed,輕微用過
AlmostNew,近乎全新
New,全新
Nothing,無
local,當地
tavern,酒館
Attempted_Breaking_And_Entering,企圖非法侵入
Trespassing,侵入
Breaking_And_Entering,非法侵入
Assault,傷害
Murder,謀殺
Tax_Evasion,逃稅
Criminal_Conspiracy,犯罪共謀
Vagrancy,遊民
Smuggling,走私
Piracy,海盜
High_Treason,叛國重罪
Pickpocketing,扒竊
Theft,竊盜
Treason,叛國
Loan_Default,貸款違約
Regular_Punishment_String,%gtp 枚金幣罰金與 %dip 天監禁
Banishment,放逐
Execution,處死
cannotChangeTransportationIndoors,你無法在室內變更交通方式。
cannotTravelWithEnemiesNearby,附近有敵人，無法旅行。
cannotTravelIndoors,你無法在室內旅行。
powersUnknown,未知能力。
itemPowers,"使用時施放：
持有時施放：
擊中時施放：
額外法術點數
克制
生命再生
吸血效果
增加負重上限
修理物品
吸收法術
強化技能
輕如鴻毛
強化護甲
提升天賦
聲望良好：
靈魂綁定
物品劣化
使用者受傷
視覺障礙
行走障礙
低傷害：
生命吸取
不良反應來自
額外重量
弱化護甲
聲望惡劣："
enemyNames,"老鼠
小惡魔
樹精
巨型蝙蝠
灰熊
劍齒虎
蜘蛛
獸人
半人馬
狼人
寧芙
屠戮魚
獸人士官
鷹身女妖
豬人
骷髏戰士
巨人
殭屍
鬼魂
木乃伊
巨型蠍子
獸人薩滿
石像鬼
怨靈
獸人戰王
冰霜迪德拉
火焰迪德拉
迪德羅斯
吸血鬼
迪德拉誘惑者
遠古吸血鬼
迪德拉領主
巫妖
遠古巫妖
幼龍
火焰侍靈
鋼鐵侍靈
血肉侍靈
寒冰侍靈
馬
幼龍
德魯格
拉米亞
法師
法劍士
戰鬥法師
術士
治療師
夜刃
吟遊詩人
竊賊
流氓
雜技者
盜賊
刺客
僧侶
弓箭手
遊俠
野蠻人
戰士
騎士
城市守衛"
extraSpellPtsTimes,"於冬季
於春季
於夏季
於秋季
於滿月
於半月
於新月
靠近不死生物時
靠近迪德拉時
靠近類人生物時
靠近動物時"
regensHealthTimes,"隨時
在陽光下
在黑暗中"
vampiricEffectRanges,"遠距
擊中時"
increasedWeightAllowances,"額外 25%
額外 50%"
improvedTalents,"聽覺
體能
腎上腺素激增"
itemDeteriorateLocations,"隨時
在陽光下
在聖地"
userTakesDamageLocations,"在陽光下
在聖地"
enemyGroupNames,"不死生物
迪德拉
類人生物
動物"
healthLeechStopConditions,"每次使用
除非每日使用
除非每週使用"
badReactionFromEnemyGroups,"類人生物
動物
迪德拉"
repWithGroups,"平民
商人
學者
貴族
地下世界
全體"
youReceiveGoldPieces,你獲得 %s 枚金幣。
bankPurchasePrice,價格：%s 金幣
youHaveRentedRoom,你在%s租到房間，為期 %d 小時。
haveNotRentedRoom,你尚未在此租房。
expiredRentedRoom,你的房間時間已到期。
tavernAle,麥酒（1 金幣）
tavernBeer,啤酒（1 金幣）
tavernMead,蜂蜜酒（2 金幣）
tavernWine,葡萄酒（3 金幣）
tavernBread,麵包（1 金幣）
tavernBroth,湯（1 金幣）
tavernCheese,起司（2 金幣）
tavernFowl,禽肉（3 金幣）
tavernGruel,稀粥（2 金幣）
tavernPie,派（2 金幣）
tavernStew,燉菜（3 金幣）
pressButtonToFireSpell,按下按鍵以施放法術。
climbingMode,攀爬模式。
rappelMode,垂降模式。
hangingMode,懸掛模式
acuteHearing,敏銳聽覺
adrenalineRush,腎上腺素激增
athleticism,體能
bonusToHit,命中加成
expertiseIn,專精
immunity,免疫
increasedMagery,魔力增幅
rapidHealing,快速治療
regenerateHealth,生命再生
resistance,抗性
spellAbsorption,法術吸收
animals,動物
daedra,迪德拉
humanoid,類人生物
undead,不死生物
axe,斧
bluntWeapon,鈍器
handToHand,徒手
longBlade,長刃
missileWeapon,遠程武器
shortBlade,短刃
toDisease,對疾病
toFire,對火焰
toFrost,對冰霜
toMagic,對魔法
toParalysis,對麻痺
toPoison,對毒素
toShock,對電擊
intInSpellPoints15,法術點數為 1.5 倍 INT
intInSpellPoints175,法術點數為 1.75 倍 INT
intInSpellPoints2,法術點數為 2 倍 INT
intInSpellPoints3,法術點數為 3 倍 INT
intInSpellPoints,法術點數等於 INT
general,一般
inDarkness,在黑暗中
inLight,在光明中
whileImmersed,浸於水中時
criticalWeakness,致命弱點
damage,傷害
darknessPoweredMagery,黑暗驅動魔力
forbiddenArmorType,禁忌護甲類型
forbiddenMaterial,禁忌材質
forbiddenShieldTypes,禁忌盾牌類型
forbiddenWeaponry,禁忌武器
inabilityToRegen,無法再生法術點數
lightPoweredMagery,光明驅動魔力
lowTolerance,低耐性
phobia,恐懼症
fromHolyPlaces,來自聖地
fromSunlight,來自陽光
lowerMagicAbilityDaylight,白晝魔法能力降低
unableToUseMagicInDaylight,白晝無法使用魔法
chain,鎖子甲
leather,皮革
plate,板甲
adamantium,精金
daedric,迪德拉
dwarven,矮人
ebony,烏木
elven,精靈
iron,鐵
mithril,秘銀
orcish,獸人
silver,銀
steel,鋼
buckler,小圓盾
kiteShield,鳶盾
roundShield,圓盾
towerShield,塔盾
lowerMagicAbilityDarkness,黑暗中魔法能力降低
unableToUseMagicInDarkness,黑暗中無法使用魔法
helpAttributes,屬性
helpClassName,職業名稱
helpGeneral,一般
helpReputations,聲望
helpSkillAdvancement,技能成長
helpSkills,技能
helpSpecialAdvantages,特殊優勢
helpSpecialDisadvantages,特殊劣勢
lower,較低
higher,較高
unchanged,不變
elsweyr,艾斯維爾
blackMarsh,黑沼澤
hammerfell,落錘省
highRock,高岩
morrowind,晨風
skyrim,天際
sumurset,夏暮島
valenwood,瓦倫林地
rollingHills,起伏丘陵
desertLand,沙漠地
mountains,山脈
swamps,沼澤
forests,森林
shores,海岸
medical,醫術
etiquette,禮儀
streetwise,街頭智慧
jumping,跳躍
harpy,鷹身女妖語
giantish,巨人語
dragonish,龍語
nymph,寧芙語
aedric,迪德拉語
spriggan,樹精語
centaurian,半人馬語
impish,小惡魔語
lockpicking,開鎖
mercantile,商業
pickpocket,扒竊
stealth,潛行
swimming,游泳
climbing,攀爬
backstabbing,背刺
dodging,閃避
running,奔跑
destruction,毀滅
restoration,恢復
illusion,幻術
alteration,變化
thaumaturgy,奇術
mysticism,神秘
archery,箭術
criticalStrike,致命一擊
strength,力量
intelligence,智力
willpower,意志
agility,敏捷
endurance,耐力
personality,魅力
speed,速度
luck,幸運
STR,STR
INT,INT
WIL,WIL
AGI,AGI
END,END
PER,PER
SPD,SPD
LUC,LUC
breton,布雷頓
redguard,紅衛
darkElf,黑暗精靈
highElf,高等精靈
woodElf,木精靈
khajiit,卡吉特
argonian,亞龍人
vampire,吸血鬼
werewolf,狼人
wereboar,豬人
vraseth,弗拉塞斯
haarvenu,哈爾維努
thrafey,斯拉菲
lyrezi,萊雷齊
montalion,蒙塔利昂
khulari,庫拉里
garlythi,加爾利西
anthotis,安托提斯
selenu,塞萊努
lockedExteriorDoor,已上鎖。
canOnlyCastOncePerDay,每天只能施放一次...
youNeedToHuntTheInnocent,你感到必須獵殺無辜者...
youDreamOfTheMoon,你再度夢見月亮...
inventoryWhileShapechanged,變形時無法開啟物品欄...
youGetNoResponse,沒有回應。
copyLogbookInfo,滑鼠左鍵：切換複製所選文本。滑鼠右鍵：複製目前整段對話。
east,東
northeast,東北
north,北
northwest,西北
west,西
southwest,西南
south,南
southeast,東南
thisPlace,此地
AnyNews,有什麼新聞嗎？
WhereAmI,我在哪裡？
AnswerTextWhereAmI,你在{1}的{0}。
YouAreInSameBuilding,你已找到{0}。你就在裡面。
NpcInSameBuilding,{0}就在這附近的{1}。
PreviousList,上一份清單
General,一般
Regional,地區
Alchemists,煉金術士
Armorers,盔甲店
Banks,銀行
Bookstores,書店
Clothingstores,服裝店
Gemstores,寶石店
Generalstores,雜貨店
Guilds,公會
Libraries,圖書館
Pawnshops,當鋪
Taverns,酒館
Weaponsmiths,武器店
Localtemples,當地神殿
Sir,先生
Ma'am,女士
oldLeaderFate0,死於心臟衰竭
oldLeaderFate1,跌倒撞到頭部身亡
oldLeaderFate2,死於瘟疫
oldLeaderFate3,在壓力下退位
oldLeaderFate4,被推翻
oldLeaderFate5,被發現死在床上，遭人謀殺
toBeReplacedStringRegional,任何
replacementStringRegional,任何
comma,",  "
resolvingError,...算了...
chameleon,變色龍
charm,魅惑
comprehendLanguages,通曉語言
continuousDamage,持續傷害
createItem,創造物品
cure,治癒
detect,偵測
disintegrate,瓦解
dispel,驅散
drain,吸取
elementalResistance,元素抗性
fortifyAttribute,強化屬性
freeAction,自由行動
heal,治療
identify,鑑定
invisibility,隱形
levitate,漂浮
light,光明
lock,上鎖
morphSelf,變形自身
open,開鎖
pacify,安撫
paralyze,麻痺
regenerate,再生
shadow,暗影
shield,護盾
silence,沉默
slowfall,緩落
soulTrap,靈魂陷阱
spellReflection,法術反射
spellResistance,法術抗性
teleport,傳送
transfer,轉移
waterBreathing,水中呼吸
waterWalking,水上行走
fire,火焰
frost,冰霜
magicka,魔力
poison,毒素
shock,電擊
enemy,敵人
magic,魔法
treasure,財寶
fatigue,疲勞
health,生命
spellPoints,法術點數
disease,疾病
paralyzation,麻痺
animal,動物
normal,一般
TRUE,TRUE
noName,<無名>
youDontHaveTheSpellPoints,你沒有足夠的法術點數。
youAreSilenced,你被沉默了。
youAreParalyzed,你被麻痺了。
youFeelDrained,你感到被吸取。
youAreFortified,你已被強化。
youAreInvisible,你隱形了。
youAreLevitating,你正在漂浮。
youAreRegenerating,你正在再生。
youAreBlending,你正在融入環境。
youAreAShade,你化為暗影。
slowFallActive,緩落已生效。
saveVersusSpellMade,成功對抗法術。
spellEffectFailed,法術效果失敗。
spellAbsorbed,法術被吸收了。
spellReflected,法術被反射了。
spellResisted,法術被抵抗了。
readyToLock,準備上鎖。
readyToOpen,準備開鎖。
doorLocked,門已上鎖。
doorAlreadyLocked,門早已上鎖。
openFailed,這把鎖太強了。
noSpellbook,你沒有法術書！
sunlightDamageFastTravelDay,你無法在白天展開快速旅行。
trapActive,陷阱已啟動。
trapHumanoid,陷阱對類人生物無效。
trapSuccess,已困住靈魂。
trapFail,陷阱失敗。
trapNoneEmpty,你沒有空的靈魂陷阱！
stamina,耐力
orcStrength,獸人之力
healing,治療
restorePower,恢復力量
resistFire,火焰抗性
resistFrost,冰霜抗性
resistShock,電擊抗性
cureDisease,治療疾病
slowFalling,緩落
healTrue,完全治療
levitation,漂浮
resistPoison,毒素抗性
curePoison,解除毒素
chameleonForm,變色龍型態
shadowForm,暗影型態
purification,淨化
LeatherCuirass,皮革胸甲
LeatherGauntlets,皮革護手
LeatherGreaves,皮革護腿
LeatherLeftPauldron,皮革左肩甲
LeatherRightPauldron,皮革右肩甲
LeatherHelm,皮革頭盔
LeatherBoots,皮革靴子
ChainCuirass,鎖子甲胸甲
ChainGauntlets,鎖子甲護手
ChainGreaves,鎖子甲護腿
ChainLeftPauldron,鎖子甲左肩甲
ChainRightPauldron,鎖子甲右肩甲
ChainHelm,鎖子甲頭盔
ChainBoots,鎖子甲靴子
SteelCuirass,鋼製胸甲
SteelGauntlets,鋼製護手
SteelGreaves,鋼製護腿
SteelLeftPauldron,鋼製左肩甲
SteelRightPauldron,鋼製右肩甲
SteelHelm,鋼製頭盔
SteelBoots,鋼製靴子
SteelBuckler,鋼製小圓盾
SteelDagger,鋼製匕首
SteelLongsword,鋼製長劍
SteelStaff,鋼製法杖
ShortBow,短弓
Arrows,箭矢
SteelBattleAxe,鋼製戰斧
Robes,長袍
CastWhenUsed,使用時施放：
CastWhenHeld,持有時施放：
CastWhenStrikes,擊中時施放：
ExtraSpellPts,額外法術點數
PotentVs,克制
RegensHealth,生命再生
VampiricEffect,吸血效果
IncreasedWeightAllowance,增加負重上限
RepairsObjects,修理物品
AbsorbsSpells,吸收法術
EnhancesSkill,強化技能
FeatherWeight,輕如鴻毛
StrengthensArmor,強化護甲
ImprovesTalents,提升天賦
GoodRepWith,聲望良好：
SoulBound,靈魂綁定
ItemDeteriorates,物品劣化
UserTakesDamage,使用者受傷
VisionProblems,視覺障礙
WalkingProblems,行走障礙
LowDamageVs,低傷害：
HealthLeech,生命吸取
BadReactionsFrom,不良反應來自
ExtraWeight,額外重量
WeakensArmor,弱化護甲
BadRepWith,聲望惡劣：
inHolyPlaces,在聖地
wheneverUsed,每次使用
unlessUsedDaily,除非每日使用
unlessUsedWeekly,除非每週使用
fromHumanoids,來自類人生物
fromAnimals,來自動物
fromDaedra,來自迪德拉
duringWinter,於冬季
duringSpring,於春季
duringSummer,於夏季
duringFall,於秋季
duringFullMoon,於滿月
duringHalfMoon,於半月
duringNewMoon,於新月
nearUndead,靠近不死生物時
nearDaedra,靠近迪德拉時
nearHumanoids,靠近類人生物時
nearAnimals,靠近動物時
undeadLower,不死生物
humanoidLower,類人生物
animalsLower,動物
animalsUpper,動物
allTheTime,隨時
inSunlight,在陽光下
inDarknessLower,在黑暗中
atRange,遠距
whenStrikes,擊中時
add25Percent,額外 25%
add50Percent,額外 50%
hearing,聽覺
athleticismLower,體能
adrenalineRushLower,腎上腺素激增
commoners,平民
merchants,商人
scholars,學者
nobility,貴族
underworld,地下世界
all,全體
noRoomInItem,物品沒有空間...
noEnchantments,你尚未為此物品準備附魔。
noMonstersNearby,附近沒有怪物。
Fire,火焰
Frost,冰霜
Poison,毒素
Shock,電擊
Magicka,魔力
Animal,動物
Undead,不死生物
Humanoid,類人生物
Daedra,迪德拉
dialogButtonInfo,在以下項目間切換：進行中任務；已完成任務；筆記本；訊息
activeQuests,進行中任務
activeQuestsInfo,點擊有目標地點的進行中任務以展開旅行。
finishedQuests,已完成任務
finishedQuestsInfo,點擊條目以移動。右鍵點擊以刪除。
notebook,筆記本
notebookInfo,點擊筆記以移動。右鍵點擊以刪除。點擊中間空白處以新增筆記。
messages,訊息
messagesInfo,近期畫面上顯示過的訊息紀錄
confirmMoveHead,移動條目
confirmMove,要變更此條目的位置嗎？
confirmMove2,（將移到下一個點擊條目之前）
confirmRemoveHead,刪除條目
confirmRemove,確定要移除此條目嗎？
confirmRemove2,（將永久刪除且無法還原）
confirmFindHead,旅行至地點
confirmFind,要開啟世界地圖前往：
confirmFind2,（注意：你可以在世界地圖取消旅行）
enterNote,輸入你的筆記：
completedQuest,已完成
endedQuest,已結束
finishQuestHeader,{0} {1} 於 {2}：
quest,任務
noteHeader,{0} 於 {1}：
houseDeed,你取得了地契，現在擁有%region的%town一間房屋。
levelProgress,距離下一級的進度：{0}%
readMap,研讀地圖後發現了%map的位置。
readMapTG,盜賊公會向你透露一處嚴加看守的寶庫，名叫%map。
readMapDB,黑暗兄弟會向你透露某處藏寶墓穴的秘密，地點名叫%map。
readMapFail,你早已發現這張地圖標示的地點。
howManyItems,要拿幾個物品（最多 {0}）？
wagonFullGold,你的馬車只能再裝 {0} 枚金幣。
itemsIdentified,物品已鑑定。
repairDone,完成
repairDays,%d 天
interruptRepair,要在修理完成前取回那件物品嗎？
repairNote,我把{0}留在{1}修理。
doesntNeedIdentify,這不需要鑑定。
goldAmount,{0} 枚金幣
goldWeight,重量：{0} kg
letterOfCredit,你收到一張信用狀作為付款。
stealSuccess,你成功了。
stealFailure,你沒有成功...
cannotRemoveItem,你無法移除此物品。
cannotCarryAnymore,你帶不了更多東西。
cannotHoldAnymore,你的馬車裝不下更多東西。
cannotUseThis,你無法使用這個。
equippingWeapon,正在裝備%s
lightDouse,你熄滅了%it。
lightLight,你點燃了%it。
lightDies,你的%it閃爍後熄滅了。
lightEmpty,你的%it沒有燃料了。
lightRefuel,你用一瓶油為%it補充燃料。
lightFull,你的%it已加滿。
kgSrc,公斤
kgRep,kg
damSrc,點傷害
damRep,傷害
arSrc,護甲等級
arRep,護甲
northern,（北方）
southern,（南方）
noWagon,你沒有馬車。
exitTooFar,出口太遠，你無法使用馬車。
bookUnavailable,這本書已毀損，無法再閱讀。
unknownAuthor,未知作者
cannotDeleteVamp,無法刪除特殊吸血鬼法術。
cannotDeleteWere,無法刪除特殊獸化病法術。
noRecipes,你沒有配方。
potionMixed,你的藥劑已經調配完成。
potionFailed,那些材料未能調成有效藥劑。
reqIngredients,你沒有所需的材料。
region,地區
account,帳戶
loan,貸款
dueDate,貸款到期日
noAccount,無
loanReminder,你有一筆 {0} 枚金幣的貸款，將於
loanReminder2,不到 {0} 個月後在{1}到期
classicIcons,經典
suggestedIcons,建議
serviceMembersOnly,我的服務僅供成員使用。
serviceDonateHowMuch,要捐獻多少錢： 
curedDisease,你已痊癒。
freeHolidayCuring,因今日節日，你獲得免費治療。
gettingQuests1,嗯，讓我看看我們有哪些任務。
gettingQuests2,請在此稍候片刻，%pcf。
illegalRestWarning,在城市裡面或附近紮營是違法的。仍要繼續嗎？
cannotLoiterMoreThanXHours1,你一次不能閒晃超過
cannotLoiterMoreThanXHours2,{0} 小時。
automapToolTipTextGridButton,滑鼠左鍵：在 2D 俯視與 3D 視圖間切換（熱鍵：{0}）\r滑鼠右鍵：將旋轉軸重設到玩家位置（熱鍵：{1}）\r游標在按鈕上滾動滑鼠滾輪向上：增加透視（僅 3D 模式）\r游標在按鈕上滾動滑鼠滾輪向下：減少透視（僅 3D 模式）
automapToolTipForwardButton,滑鼠左鍵：將視點向前移動（熱鍵：{0}）\r滑鼠右鍵：將旋轉軸向前移動（熱鍵：{1}）
automapToolTipBackwardButton,滑鼠左鍵：將視點向後移動（熱鍵：{0}）\r滑鼠右鍵：將旋轉軸向後移動（熱鍵：{1}）
automapToolTipLeftButton,滑鼠左鍵：將視點向左移動（熱鍵：{0}）\r滑鼠右鍵：將旋轉軸向左移動（熱鍵：{1}）
automapToolTipRightButton,滑鼠左鍵：將視點向右移動（熱鍵：{0}）\r滑鼠右鍵：將旋轉軸向右移動（熱鍵：{1}）
automapToolTipRotateLeftButton,滑鼠左鍵：將地城向左旋轉（熱鍵：{0}）\r滑鼠右鍵：將攝影機向左旋轉（熱鍵：{1}）
automapToolTipRotateRightButton,滑鼠左鍵：將地城向右旋轉（熱鍵：{0}）\r滑鼠右鍵：將攝影機向右旋轉（熱鍵：{1}）
automapToolTipUpstairsButton,滑鼠左鍵：提高視點（熱鍵：{0}）\r滑鼠右鍵：提高切片層級（熱鍵：{1}）\r也可按住滑鼠中鍵調整切片層級\r\r提示：不同繪製模式可能顯示隱藏幾何：\r熱鍵 {2}：剖切模式\r熱鍵 {3}：線框模式\r熱鍵 {4}：透明模式\r用 Return 鍵切換模式\r
automapToolTipDownstairsButton,滑鼠左鍵：降低視點（熱鍵：{0}）\r滑鼠右鍵：降低切片層級（熱鍵：{1}）\r也可按住滑鼠中鍵調整切片層級\r\r提示：不同繪製模式可能顯示隱藏幾何：\r熱鍵 {2}：剖切模式\r熱鍵 {3}：線框模式\r熱鍵 {4}：透明模式\r用 Return 鍵切換模式\r
automapToolTipPanelCompass,"滑鼠左鍵：切換焦點（熱鍵：{0}）\r信標：紅……玩家，綠……入口，藍……旋轉軸\r\r滑鼠右鍵：重設視圖（熱鍵：{1}）\r\r在視窗中連按兩下左鍵以建立並編輯標記筆記\r在視窗中連按兩下左鍵（+Ctrl）以建立標記\r在標記上連按兩下左鍵以新增／編輯筆記\r在標記上連按兩下右鍵以刪除\r在視窗中連按兩下右鍵以設定旋轉軸位置\r在視窗中連按兩下中鍵以置中視圖\r在已發現的傳送門標記上連按兩下左鍵可跳至\r相連的傳送入口"
automapPlayerPositionBeacon,玩家位置信標
automapRotationPivotAxis,旋轉樞軸
automapEntranceExitPositionBeacon,入口／出口位置信標
automapEntranceExit,入口／出口
automapPlayerMarker,玩家標記
automapTeleporterEntrance,傳送門（入口）
automapTeleporterExit,傳送門（出口）
exteriorAutomapBuildingTypeAlchemist,煉金術士
exteriorAutomapBuildingTypeArmorer,盔甲店
exteriorAutomapBuildingTypeBank,銀行
exteriorAutomapBuildingTypeBookseller,書商
exteriorAutomapBuildingTypeClothingStore,服裝店
exteriorAutomapBuildingTypeFurnitureStore,家具店
exteriorAutomapBuildingTypeGemStore,寶石店
exteriorAutomapBuildingTypeGeneralStore,雜貨店
exteriorAutomapBuildingTypeGuildHall,公會廳
exteriorAutomapBuildingTypeHouseForSale,待售房屋
exteriorAutomapBuildingTypeLibrary,圖書館
exteriorAutomapBuildingTypePalace,宮殿
exteriorAutomapBuildingTypePawnShop,當鋪
exteriorAutomapBuildingTypeTavern,酒館
exteriorAutomapBuildingTypeTemple,神殿
exteriorAutomapBuildingTypeWeaponSmith,武器店
exteriorAutomapBuildingTypeUnknown,未知
exteriorAutomapToolTipTextGridButton,"滑鼠左鍵：切換至下一視圖模式（熱鍵：{0}）\r可用視圖模式：\r- 原版（熱鍵 {1}）\r- 額外：包含額外建築（熱鍵 {2}）\r- 全部：包含額外建築、地面平面（熱鍵 {3}）\r用 {4}、{5}、{6}、{7} 切換背景貼圖"
exteriorAutomapToolTipForwardButton,滑鼠左鍵：向上移動（熱鍵：{0}）\r滑鼠右鍵：移至地點北界（熱鍵：{1}）
exteriorAutomapToolTipBackwardButton,滑鼠左鍵：向下移動（熱鍵：{0}）\r滑鼠右鍵：移至地點南界（熱鍵：{1}）
exteriorAutomapToolTipLeftButton,滑鼠左鍵：向左移動（熱鍵：{0}）\r滑鼠右鍵：移至地點西界（熱鍵：{1}）
exteriorAutomapToolTipRightButton,滑鼠左鍵：向右移動（熱鍵：{0}）\r滑鼠右鍵：移至地點東界（熱鍵：{1}）
exteriorAutomapToolTipRotateLeftButton,滑鼠左鍵：將地圖向左旋轉（熱鍵：{0}）\r滑鼠右鍵：以玩家位置為軸將地圖\r向左旋轉（熱鍵：{1}）
exteriorAutomapToolTipRotateRightButton,滑鼠左鍵：將地圖向右旋轉（熱鍵：{0}）\r滑鼠右鍵：以玩家位置為軸將地圖\r向右旋轉（熱鍵：{1}）
exteriorAutomapToolTipUpstairsButton,滑鼠左鍵：放大（熱鍵：{0}）\r滑鼠右鍵：套用最大縮放）
exteriorAutomapToolTipDownstairsButton,滑鼠左鍵：縮小（熱鍵：{0}\r滑鼠右鍵：套用最小縮放）
